Pathways	p-values	Matches
Pyrimidine-Degradation	0.0022161372	G1G01-2713 // G1G01-5444 // G1G01-4299 // G1G01-4302 // G1G01-4303
Pyrimidine-Base-Degradation	0.0022176974	G1G01-4299 // G1G01-4302 // G1G01-4303
Uracil-Degradation	0.0022176974	G1G01-4299 // G1G01-4302 // G1G01-4303
PWY-6430	0.0022176974	G1G01-4299 // G1G01-4302 // G1G01-4303
PWY-3982	0.0022176974	G1G01-4299 // G1G01-4302 // G1G01-4303
Reductants	0.010813462	G1G01-5338 // G1G01-860 // G1G01-1784
ALKANEMONOX-PWY	0.011382705	G1G01-260 // G1G01-258
Carriers-Biosynthesis	0.015278612	G1G01-1866 // G1G01-5338 // G1G01-5311 // G1G01-2067 // G1G01-355 // G1G01-5551 // G1G01-2065 // G1G01-5209 // G1G01-860 // G1G01-2713 // G1G01-1784
NUCLEO-DEG	0.020337237	G1G01-2713 // G1G01-5444 // G1G01-4299 // G1G01-4302 // G1G01-4303
PWY-2161	0.021836216	G1G01-355 // G1G01-2067
PWY-2201	0.022896051	G1G01-355 // G1G01-2067 // G1G01-2065 // G1G01-5551
C1-COMPOUNDS	0.027646376	G1G01-2067 // G1G01-536 // G1G01-2065 // G1G01-1713
PWY-7909	0.034915227	G1G01-2065 // G1G01-2067
ACETATEUTIL-PWY	0.034915227	G1G01-850 // G1G01-5023
CITRULLINE-DEG-PWY	0.034915227	G1G01-1072 // G1G01-1073
Beta-Alanine-Biosynthesis	0.03538174	G1G01-4299 // G1G01-4302 // G1G01-4303
Formaldehyde-Oxidation	0.03538174	G1G01-2065 // G1G01-2067 // G1G01-1713
Folate-Transformations	0.03880267	G1G01-355 // G1G01-2067 // G1G01-5551 // G1G01-2065
Electron-Carrier-Biosynthesis	0.039719667	G1G01-1866 // G1G01-5338 // G1G01-5209 // G1G01-860 // G1G01-2713 // G1G01-1784
