Pathways	p-values	Matches
Purine-Ribonuc-De-Novo-Biosynthesis	3.0766078e-4	G1G01-5653 // G1G01-1105 // G1G01-1104 // G1G01-1597 // G1G01-4283 // G1G01-5692 // G1G01-5159 // G1G01-1326
Carbohydrates-Degradation	3.9347535e-4	G1G01-1878 // G1G01-5645 // G1G01-3815 // G1G01-1451 // G1G01-1709 // G1G01-5307 // G1G01-3676 // G1G01-2290 // G1G01-1096 // G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-3264 // G1G01-2356 // G1G01-4007 // G1G01-5386 // G1G01-2286
CARBOXYLATES-DEG	8.497816e-4	G1G01-1549 // G1G01-4789 // G1G01-2358 // G1G01-2356 // G1G01-4007 // G1G01-2972 // G1G01-372 // G1G01-4454 // G1G01-371 // G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-2500 // G1G01-2495 // G1G01-2496 // G1G01-3977 // G1G01-2354 // G1G01-390 // G1G01-1451 // G1G01-1709 // G1G01-4576 // G1G01-2172 // G1G01-5091
Sugars-And-Polysaccharides-Degradation	9.827334e-4	G1G01-1878 // G1G01-5645 // G1G01-3815 // G1G01-1451 // G1G01-1709 // G1G01-5307 // G1G01-3676 // G1G01-2290 // G1G01-1096 // G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-3264 // G1G01-2356 // G1G01-4007
Amino-Acid-Biosynthesis	0.0016065824	G1G01-1434 // G1G01-5531 // G1G01-5050 // G1G01-5646 // G1G01-468 // G1G01-4782 // G1G01-1161 // G1G01-1871 // G1G01-743 // G1G01-1870 // G1G01-5494 // G1G01-3596 // G1G01-3747 // G1G01-2117 // G1G01-2119 // G1G01-4774 // G1G01-2122 // G1G01-2172 // G1G01-1621 // G1G01-5579 // G1G01-1006 // G1G01-1851 // G1G01-1105 // G1G01-4267 // G1G01-1039 // G1G01-5360 // G1G01-647 // G1G01-3977 // G1G01-2354 // G1G01-4454 // G1G01-5540 // G1G01-4032 // G1G01-5439 // G1G01-3975 // G1G01-5441 // G1G01-2711 // G1G01-86 // G1G01-454 // G1G01-457 // G1G01-2125 // G1G01-458 // G1G01-917 // G1G01-1752 // G1G01-915 // G1G01-3367 // G1G01-5391
Purine-Nucleotide-De-Novo-Biosynthesis	0.0016148298	G1G01-5653 // G1G01-1105 // G1G01-1104 // G1G01-1597 // G1G01-4283 // G1G01-5692 // G1G01-5159 // G1G01-1326
IND-AMINO-ACID-SYN	0.0022966168	G1G01-1434 // G1G01-5531 // G1G01-5050 // G1G01-5646 // G1G01-468 // G1G01-4782 // G1G01-1161 // G1G01-1871 // G1G01-4774 // G1G01-2122 // G1G01-2172 // G1G01-1621 // G1G01-5579 // G1G01-1006 // G1G01-1851 // G1G01-1105 // G1G01-4267 // G1G01-1039 // G1G01-5360 // G1G01-1870 // G1G01-2117 // G1G01-3747 // G1G01-2119 // G1G01-743 // G1G01-5494 // G1G01-3596 // G1G01-4454 // G1G01-5540 // G1G01-4032 // G1G01-5439 // G1G01-5441 // G1G01-2711 // G1G01-86 // G1G01-454 // G1G01-457 // G1G01-2125 // G1G01-458 // G1G01-917 // G1G01-1752 // G1G01-915 // G1G01-3367 // G1G01-5391
PUR-NUC-SYN	0.003175203	G1G01-5653 // G1G01-5622 // G1G01-1105 // G1G01-1104 // G1G01-1597 // G1G01-4283 // G1G01-1549 // G1G01-2130 // G1G01-1762 // G1G01-5692 // G1G01-5159 // G1G01-1326
DHGLUCONATE-PYR-CAT-PWY	0.0056605837	G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609
TRPSYN-PWY	0.0056605837	G1G01-86 // G1G01-454 // G1G01-457 // G1G01-2125 // G1G01-458
TRYPTOPHAN-BIOSYNTHESIS	0.0056605837	G1G01-86 // G1G01-454 // G1G01-457 // G1G01-2125 // G1G01-458
IMP-Biosynthesis	0.007920012	G1G01-5692 // G1G01-5159 // G1G01-4283 // G1G01-1326
ISOLEUCINE-DEG	0.007920012	G1G01-2357 // G1G01-2356 // G1G01-4007 // G1G01-3747
PWY0-1479	0.007920012	G1G01-2016 // G1G01-4899 // G1G01-8 // G1G01-5220
PWY-6123	0.007920012	G1G01-5692 // G1G01-5159 // G1G01-4283 // G1G01-1326
ILEUDEG-PWY	0.007920012	G1G01-2357 // G1G01-2356 // G1G01-4007 // G1G01-3747
ARGSYNBSUB-PWY	0.0088049825	G1G01-1434 // G1G01-5531 // G1G01-5050 // G1G01-5646 // G1G01-468 // G1G01-4782 // G1G01-1161
Urate-Degradation	0.009144597	G1G01-4563 // G1G01-4565 // G1G01-3296
PWY-7343	0.009144597	G1G01-5645 // G1G01-3815 // G1G01-4079
PWY-5691	0.009144597	G1G01-4563 // G1G01-4565 // G1G01-3296
PWY1G01-2	0.011064811	G1G01-1096 // G1G01-4308 // G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-5495 // G1G01-1451 // G1G01-1709 // G1G01-5307 // G1G01-3676 // G1G01-2290
GLYCOLYSIS-VARIANTS	0.011064811	G1G01-1096 // G1G01-4308 // G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-5495 // G1G01-1451 // G1G01-1709 // G1G01-5307 // G1G01-3676 // G1G01-2290
Methyl-Citrate-Cycle	0.012531084	G1G01-2500 // G1G01-2495 // G1G01-2496 // G1G01-3977 // G1G01-2354
Polymer-Degradation	0.012531084	G1G01-5645 // G1G01-3815 // G1G01-5386 // G1G01-3609 // G1G01-2286
PWY0-42	0.012531084	G1G01-2500 // G1G01-2495 // G1G01-2496 // G1G01-3977 // G1G01-2354
POLYSACCHARIDES-DEG	0.012531084	G1G01-5645 // G1G01-3815 // G1G01-5386 // G1G01-3609 // G1G01-2286
Other-Amino-Acid-Biosynthesis	0.016163075	G1G01-647 // G1G01-3977 // G1G01-2354 // G1G01-3975 // G1G01-5441 // G1G01-2711 // G1G01-2122 // G1G01-4774 // G1G01-1006 // G1G01-1851 // G1G01-1105 // G1G01-5050 // G1G01-4782 // G1G01-468 // G1G01-5646 // G1G01-1434 // G1G01-5531
PWY-8073	0.019859303	G1G01-1700 // G1G01-1698 // G1G01-3081 // G1G01-1701
SUGAR-ACIDS-DEG	0.02058967	G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-2172 // G1G01-5091 // G1G01-4576
ARGSYN-PWY	0.022454944	G1G01-4782 // G1G01-468 // G1G01-5646 // G1G01-1434 // G1G01-5531 // G1G01-5050 // G1G01-1161
ARGININE-SYN	0.022454944	G1G01-4782 // G1G01-468 // G1G01-5646 // G1G01-1434 // G1G01-5531 // G1G01-5050 // G1G01-1161
