Pathways	p-values	Matches
IND-AMINO-ACID-SYN	4.2963934e-6	G1G01-1434 // G1G01-5531 // G1G01-5646 // G1G01-4782 // G1G01-1161 // G1G01-1871 // G1G01-4774 // G1G01-5579 // G1G01-1004 // G1G01-1006 // G1G01-321 // G1G01-1851 // G1G01-5232 // G1G01-1041 // G1G01-1870 // G1G01-2116 // G1G01-2117 // G1G01-2119 // G1G01-743 // G1G01-3412 // G1G01-3679 // G1G01-5494 // G1G01-3596 // G1G01-4454 // G1G01-5538 // G1G01-4032 // G1G01-5439 // G1G01-3411 // G1G01-1391 // G1G01-1390 // G1G01-5441 // G1G01-2711 // G1G01-2879 // G1G01-86 // G1G01-87 // G1G01-454 // G1G01-457 // G1G01-917 // G1G01-1752 // G1G01-3367 // G1G01-4677 // G1G01-5391
Carbohydrates-Degradation	1.0459929e-5	G1G01-1878 // G1G01-868 // G1G01-5645 // G1G01-3815 // G1G01-1709 // G1G01-3676 // G1G01-2290 // G1G01-1082 // G1G01-1096 // G1G01-1083 // G1G01-1097 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-3264 // G1G01-4007 // G1G01-5386 // G1G01-2286
Amino-Acid-Biosynthesis	2.8722685e-5	G1G01-1434 // G1G01-5531 // G1G01-5646 // G1G01-4782 // G1G01-1161 // G1G01-1871 // G1G01-743 // G1G01-1870 // G1G01-3412 // G1G01-3679 // G1G01-5494 // G1G01-3596 // G1G01-2116 // G1G01-2117 // G1G01-2119 // G1G01-4774 // G1G01-5579 // G1G01-1004 // G1G01-1006 // G1G01-321 // G1G01-1851 // G1G01-5232 // G1G01-1041 // G1G01-4454 // G1G01-5538 // G1G01-4032 // G1G01-5439 // G1G01-3975 // G1G01-3411 // G1G01-5441 // G1G01-2711 // G1G01-1391 // G1G01-1390 // G1G01-2879 // G1G01-86 // G1G01-87 // G1G01-454 // G1G01-457 // G1G01-917 // G1G01-1752 // G1G01-3367 // G1G01-4677 // G1G01-5391
Sugars-And-Polysaccharides-Degradation	3.9863087e-5	G1G01-1878 // G1G01-868 // G1G01-5645 // G1G01-3815 // G1G01-1709 // G1G01-3676 // G1G01-2290 // G1G01-1082 // G1G01-1096 // G1G01-1083 // G1G01-1097 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-3264 // G1G01-4007
TCA	0.0034783706	G1G01-4459 // G1G01-4279 // G1G01-826 // G1G01-1338 // G1G01-2500 // G1G01-4455 // G1G01-4454 // G1G01-4451 // G1G01-1018
TCA-VARIANTS	0.0034783706	G1G01-4459 // G1G01-4279 // G1G01-826 // G1G01-1338 // G1G01-2500 // G1G01-4455 // G1G01-4454 // G1G01-4451 // G1G01-1018
Polymer-Degradation	0.004159682	G1G01-5645 // G1G01-3815 // G1G01-5386 // G1G01-3609 // G1G01-2286
POLYSACCHARIDES-DEG	0.004159682	G1G01-5645 // G1G01-3815 // G1G01-5386 // G1G01-3609 // G1G01-2286
Entner-Duodoroff-Pathways	0.0057182843	G1G01-1709 // G1G01-3676 // G1G01-2290 // G1G01-1082 // G1G01-1096 // G1G01-1083 // G1G01-1097
PWY-8004-1	0.0057182843	G1G01-1709 // G1G01-3676 // G1G01-2290 // G1G01-1082 // G1G01-1096 // G1G01-1083 // G1G01-1097
