Pathways	p-values	Matches
DHGLUCONATE-PYR-CAT-PWY	2.1576654e-4	G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609
LYSINE-DEG	2.2705177e-4	G1G01-4375 // G1G01-3828 // G1G01-3833 // G1G01-3975 // G1G01-236 // G1G01-234 // G1G01-417
Amino-Acid-Biosynthesis	0.0019716788	G1G01-1434 // G1G01-5646 // G1G01-1161 // G1G01-3679 // G1G01-5494 // G1G01-3596 // G1G01-3747 // G1G01-1098 // G1G01-4774 // G1G01-2820 // G1G01-1684 // G1G01-1006 // G1G01-321 // G1G01-1851 // G1G01-5232 // G1G01-3977 // G1G01-4454 // G1G01-4032 // G1G01-354 // G1G01-3975 // G1G01-3411 // G1G01-5441 // G1G01-2711 // G1G01-2534 // G1G01-454 // G1G01-1976 // G1G01-5391
IND-AMINO-ACID-SYN	0.0022104462	G1G01-1434 // G1G01-5646 // G1G01-1161 // G1G01-4774 // G1G01-2820 // G1G01-1684 // G1G01-1006 // G1G01-321 // G1G01-1851 // G1G01-5232 // G1G01-1098 // G1G01-3747 // G1G01-3679 // G1G01-5494 // G1G01-3596 // G1G01-4454 // G1G01-4032 // G1G01-354 // G1G01-3411 // G1G01-2534 // G1G01-5441 // G1G01-2711 // G1G01-454 // G1G01-1976 // G1G01-5391
SUGAR-ACIDS-DEG	0.0078886915	G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-1097
PWY-5283	0.009866621	G1G01-4375 // G1G01-3828 // G1G01-3833 // G1G01-3975
PWY-5280	0.009870843	G1G01-236 // G1G01-234 // G1G01-417
Carbohydrates-Degradation	0.011034243	G1G01-5645 // G1G01-3676 // G1G01-1082 // G1G01-1097 // G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-5386
Amino-Acid-Fermentation	0.011129538	G1G01-4948 // G1G01-3747
Stickland-Reductive	0.011129538	G1G01-4948 // G1G01-3747
PWY-7767	0.011129538	G1G01-4948 // G1G01-3747
PWY-5344	0.011129538	G1G01-5441 // G1G01-2711
Sugars-And-Polysaccharides-Degradation	0.01660269	G1G01-5645 // G1G01-3676 // G1G01-1082 // G1G01-1097 // G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609
PWY1G01-2	0.01766361	G1G01-1097 // G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-3676 // G1G01-1082
GLYCOLYSIS-VARIANTS	0.01766361	G1G01-1097 // G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-3676 // G1G01-1082
PWY-8073	0.018227478	G1G01-1700 // G1G01-1698 // G1G01-3081
THREONINE-DEG	0.018227478	G1G01-354 // G1G01-3679 // G1G01-5494
BRANCHED-CHAIN-AA-SYN-PWY	0.020461915	G1G01-3679 // G1G01-5494 // G1G01-3596 // G1G01-3747 // G1G01-1098
Proteinogenic-Amino-Acids-Degradation	0.021782137	G1G01-3747 // G1G01-617 // G1G01-4032 // G1G01-544 // G1G01-354 // G1G01-3679 // G1G01-5494 // G1G01-4454 // G1G01-4375 // G1G01-3828 // G1G01-3833 // G1G01-3975 // G1G01-1006 // G1G01-321 // G1G01-1851 // G1G01-236 // G1G01-234 // G1G01-417 // G1G01-4948 // G1G01-3411
Other-Amino-Acid-Biosynthesis	0.027289184	G1G01-3977 // G1G01-3975 // G1G01-5441 // G1G01-2711 // G1G01-4774 // G1G01-1006 // G1G01-321 // G1G01-1851 // G1G01-5646 // G1G01-1434
Lipopolysaccharide-Biosynthesis	0.02946399	G1G01-1700 // G1G01-1698 // G1G01-3081
ILEUSYN-PWY	0.030146621	G1G01-3679 // G1G01-5494 // G1G01-3596 // G1G01-3747
GALACTUROCAT-PWY	0.031069959	G1G01-1097 // G1G01-3609
Urate-Degradation	0.031069959	G1G01-4565 // G1G01-3296
PWY-5691	0.031069959	G1G01-4565 // G1G01-3296
CARBOXYLATES-DEG	0.037750833	G1G01-1097 // G1G01-2358 // G1G01-166 // G1G01-372 // G1G01-4454 // G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-3977 // G1G01-390
Amino-Acid-Degradation	0.0384817	G1G01-3747 // G1G01-617 // G1G01-4032 // G1G01-544 // G1G01-354 // G1G01-3679 // G1G01-5494 // G1G01-3411 // G1G01-4454 // G1G01-4375 // G1G01-3828 // G1G01-3833 // G1G01-3975 // G1G01-1006 // G1G01-321 // G1G01-1851 // G1G01-236 // G1G01-234 // G1G01-417 // G1G01-4948
Polymer-Degradation	0.043563962	G1G01-5645 // G1G01-5386 // G1G01-3609
POLYSACCHARIDES-DEG	0.043563962	G1G01-5645 // G1G01-5386 // G1G01-3609
