Pathways	p-values	Matches
Degradation	3.0913944e-7	G1G01-2067 // G1G01-536 // G1G01-2278 // G1G01-2277 // G1G01-402 // G1G01-3985 // G1G01-3979 // G1G01-850 // G1G01-5429 // G1G01-5023 // G1G01-4299 // G1G01-4301 // G1G01-4302 // G1G01-4303 // G1G01-4375 // G1G01-5615 // G1G01-3828 // G1G01-3693 // G1G01-3694 // G1G01-3696 // G1G01-3666 // G1G01-1059 // G1G01-2066 // G1G01-648 // G1G01-4980 // G1G01-3776 // G1G01-4330 // G1G01-4331 // G1G01-260 // G1G01-258 // G1G01-2737 // G1G01-4879 // G1G01-3411 // G1G01-2662 // G1G01-2861 // G1G01-3839 // G1G01-2855 // G1G01-2616 // G1G01-4574 // G1G01-202 // G1G01-3884 // G1G01-725 // G1G01-4462 // G1G01-4682 // G1G01-4681 // G1G01-4679 // G1G01-4979 // G1G01-2065 // G1G01-1713 // G1G01-361 // G1G01-3412 // G1G01-2628 // G1G01-5239
VALDEG-PWY	4.7289803e-5	G1G01-648 // G1G01-4980 // G1G01-4682 // G1G01-4681 // G1G01-4679 // G1G01-4979
VALINE-DEG	4.7289803e-5	G1G01-648 // G1G01-4980 // G1G01-4682 // G1G01-4681 // G1G01-4679 // G1G01-4979
Formaldehyde-Oxidation	8.902158e-5	G1G01-2065 // G1G01-2067 // G1G01-1713 // G1G01-361 // G1G01-2662 // G1G01-2861
Pyrimidine-Base-Degradation	1.3303795e-4	G1G01-4299 // G1G01-4301 // G1G01-4302 // G1G01-4303
Uracil-Degradation	1.3303795e-4	G1G01-4299 // G1G01-4301 // G1G01-4302 // G1G01-4303
PWY-6430	1.3303795e-4	G1G01-4299 // G1G01-4301 // G1G01-4302 // G1G01-4303
PWY-3982	1.3303795e-4	G1G01-4299 // G1G01-4301 // G1G01-4302 // G1G01-4303
C1-COMPOUNDS	2.3061148e-4	G1G01-2065 // G1G01-2067 // G1G01-1713 // G1G01-361 // G1G01-2662 // G1G01-2861 // G1G01-536
PWY-6967	3.9440533e-4	G1G01-3693 // G1G01-3694 // G1G01-3696
Methylamine-Degradation	3.9440533e-4	G1G01-3693 // G1G01-3694 // G1G01-3696
Amino-Acid-Degradation	4.973238e-4	G1G01-3776 // G1G01-4330 // G1G01-4331 // G1G01-3666 // G1G01-2616 // G1G01-3839 // G1G01-3412 // G1G01-648 // G1G01-4980 // G1G01-4682 // G1G01-4681 // G1G01-4679 // G1G01-4979 // G1G01-3411 // G1G01-1059 // G1G01-2066 // G1G01-4879 // G1G01-4375 // G1G01-5615 // G1G01-3828
Proteinogenic-Amino-Acids-Degradation	6.71374e-4	G1G01-3776 // G1G01-4330 // G1G01-4331 // G1G01-3666 // G1G01-2616 // G1G01-3412 // G1G01-648 // G1G01-4980 // G1G01-4682 // G1G01-4681 // G1G01-4679 // G1G01-4979 // G1G01-1059 // G1G01-2066 // G1G01-4879 // G1G01-4375 // G1G01-5615 // G1G01-3828 // G1G01-3411
PWY-5046	0.001493022	G1G01-4682 // G1G01-4681 // G1G01-4679
