Pathways	p-values	Matches
Purine Riboucleotide <i>De Novo</i> Biosynthesis	3.0766078e-4	gmk // guaA // guaB // adk // purB // purE // purH // purC
Carbohydrate Degradation	3.9347535e-4	PP_1776 // algC // pgm // pykA // eno // pgk // PP_3443 // gapB // pgl // PP_3382 // PP_3383 // PP_3384 // kguD // kguK // aacs // PP_2215 // bktB // glgP // nagZ
Carboxylate Degradation	8.497816e-4	purT // acsA-I // PP_2217 // PP_2215 // bktB // lvaB // aceE // lpdG // aceF // PP_3382 // PP_3383 // PP_3384 // kguD // kguK // acnB // mmgF // prpC // PP_3724 // PP_2213 // glcB // pykA // eno // glxR // PP_2036 // gudD
Sugar Degradation	9.827334e-4	PP_1776 // algC // pgm // pykA // eno // pgk // PP_3443 // gapB // pgl // PP_3382 // PP_3383 // PP_3384 // kguD // kguK // aacs // PP_2215 // bktB
Amino Acid Biosynthesis	0.0016065824	argJ // argA // carA // argB // argC // astC // argG // pheA // glyA-II // serC // ilvA-II // PP_3365 // ilvE // leuD // leuB // lysC // asd2 // PP_2036 // dapD // dapF // gatC // asnB // guaA // serS // hisG // hisE // PP_0596 // PP_3724 // PP_2213 // lpdG // gcvT-II // proC // proI // alr // metX // PP_2528 // trpA // trpE // trpD // trpF // trpC // iscS-I // cysM // cysE // PP_3148 // glnA
Purine Nucleotide <i>De Novo</i> Biosynthesis	0.0016148298	gmk // guaA // guaB // adk // purB // purE // purH // purC
Proteinogenic Amino Acid Biosynthesis	0.0022966168	argJ // argA // carA // argB // argC // astC // argG // pheA // lysC // asd2 // PP_2036 // dapD // dapF // gatC // asnB // guaA // serS // hisG // hisE // serC // leuD // ilvE // leuB // glyA-II // ilvA-II // PP_3365 // lpdG // gcvT-II // proC // proI // metX // PP_2528 // trpA // trpE // trpD // trpF // trpC // iscS-I // cysM // cysE // PP_3148 // glnA
Purine Nucleotide Biosynthesis	0.003175203	gmk // xpt // guaA // guaB // adk // purB // purT // purF // purN // purE // purH // purC
glucose degradation (oxidative)	0.0056605837	PP_3382 // PP_3383 // PP_3384 // kguD // kguK
L-tryptophan biosynthesis	0.0056605837	trpA // trpE // trpD // trpF // trpC
L-tryptophan Biosynthesis	0.0056605837	trpA // trpE // trpD // trpF // trpC
Inosine-5'-phosphate Biosynthesis	0.007920012	purE // purH // purB // purC
L-isoleucine Degradation	0.007920012	acd // PP_2215 // bktB // ilvE
tRNA processing	0.007920012	rne // rnd // rnpA // rnr
inosine-5'-phosphate biosynthesis I	0.007920012	purE // purH // purB // purC
L-isoleucine degradation I	0.007920012	acd // PP_2215 // bktB // ilvE
L-arginine biosynthesis II (acetyl cycle)	0.0088049825	argJ // argA // carA // argB // argC // astC // argG
Urate Degradation	0.009144597	pucM // pucL // puuD
UDP-&alpha;-D-glucose biosynthesis I	0.009144597	algC // pgm // galU
urate conversion to allantoin I	0.009144597	pucM // pucL // puuD
glucose metabolism (<i>Pseudomonas putida</i>)	0.011064811	pgl // gntZ // PP_3382 // PP_3383 // PP_3384 // kguD // kguK // rpiA // pykA // eno // pgk // PP_3443 // gapB
Glycolysis	0.011064811	pgl // gntZ // PP_3382 // PP_3383 // PP_3384 // kguD // kguK // rpiA // pykA // eno // pgk // PP_3443 // gapB
2-Methylcitrate Cycle	0.012531084	acnB // mmgF // prpC // PP_3724 // PP_2213
Polymeric Compound Degradation	0.012531084	algC // pgm // glgP // kguK // nagZ
2-methylcitrate cycle I	0.012531084	acnB // mmgF // prpC // PP_3724 // PP_2213
