Pathways	p-values	Matches
VALDEG-PWY	2.9606776e-6	G1G01-648 // G1G01-4980 // G1G01-4682 // G1G01-4681 // G1G01-4679 // G1G01-4979 // G1G01-2357
VALINE-DEG	2.9606776e-6	G1G01-648 // G1G01-4980 // G1G01-4682 // G1G01-4681 // G1G01-4679 // G1G01-4979 // G1G01-2357
Pyrimidine-Base-Degradation	1.47874e-4	G1G01-671 // G1G01-4299 // G1G01-4302 // G1G01-4303
Uracil-Degradation	1.47874e-4	G1G01-671 // G1G01-4299 // G1G01-4302 // G1G01-4303
PWY-6430	1.47874e-4	G1G01-671 // G1G01-4299 // G1G01-4302 // G1G01-4303
PWY-3982	1.47874e-4	G1G01-671 // G1G01-4299 // G1G01-4302 // G1G01-4303
Degradation	2.2459161e-4	G1G01-2067 // G1G01-536 // G1G01-2355 // G1G01-2354 // G1G01-2356 // G1G01-2357 // G1G01-1950 // G1G01-850 // G1G01-5023 // G1G01-671 // G1G01-4299 // G1G01-4302 // G1G01-4303 // G1G01-5290 // G1G01-3693 // G1G01-3694 // G1G01-3696 // G1G01-1059 // G1G01-648 // G1G01-4980 // G1G01-3776 // G1G01-258 // G1G01-610 // G1G01-4879 // G1G01-2713 // G1G01-3110 // G1G01-1072 // G1G01-1152 // G1G01-3839 // G1G01-4576 // G1G01-202 // G1G01-3499 // G1G01-2495 // G1G01-2496 // G1G01-1470 // G1G01-725 // G1G01-4278 // G1G01-2650 // G1G01-3766 // G1G01-4682 // G1G01-4681 // G1G01-4679 // G1G01-4979 // G1G01-2065 // G1G01-1713 // G1G01-361 // G1G01-593 // G1G01-5239
PWY-6967	4.2726027e-4	G1G01-3693 // G1G01-3694 // G1G01-3696
Methylamine-Degradation	4.2726027e-4	G1G01-3693 // G1G01-3694 // G1G01-3696
Beta-Alanine-Biosynthesis	0.0011743467	G1G01-671 // G1G01-4299 // G1G01-4302 // G1G01-4303 // G1G01-2354
Propionate-Degradation	0.0011743467	G1G01-648 // G1G01-4980 // G1G01-2495 // G1G01-2496 // G1G01-2354
PWY-5698	0.0016148486	G1G01-3766 // G1G01-671 // G1G01-4299
PWY-5046	0.0016148486	G1G01-4682 // G1G01-4681 // G1G01-4679
Allantoin-degradation	0.0038153105	G1G01-3766 // G1G01-671 // G1G01-4299
PWY-5705	0.0038153105	G1G01-3766 // G1G01-671 // G1G01-4299
Pyrimidine-Degradation	0.005075007	G1G01-671 // G1G01-4299 // G1G01-4302 // G1G01-4303 // G1G01-2713
MISCELLANEOUS-DEG	0.0067656795	G1G01-3839 // G1G01-648 // G1G01-4980 // G1G01-1072 // G1G01-1152
CARBOXYLATES-DEG	0.008429363	G1G01-850 // G1G01-5023 // G1G01-2355 // G1G01-2356 // G1G01-3839 // G1G01-648 // G1G01-4980 // G1G01-2495 // G1G01-2496 // G1G01-2354 // G1G01-4576
Formaldehyde-Oxidation	0.009662605	G1G01-2065 // G1G01-2067 // G1G01-1713 // G1G01-361
AMINE-DEG	0.011125414	G1G01-850 // G1G01-593 // G1G01-3693 // G1G01-3694 // G1G01-3696 // G1G01-3766 // G1G01-671 // G1G01-4299
C1-COMPOUNDS	0.01126135	G1G01-2065 // G1G01-2067 // G1G01-1713 // G1G01-361 // G1G01-536
DETOX1-PWY-1	0.011933194	G1G01-3906 // G1G01-1784 // G1G01-853
REACTIVE-OXYGEN-SPECIES-DEGRADATION	0.011933194	G1G01-3906 // G1G01-1784 // G1G01-853
PWY-1781	0.016372614	G1G01-648 // G1G01-4980
PWY-4081	0.016372614	G1G01-1784 // G1G01-853
Beta-Alanine-Degradation	0.016372614	G1G01-648 // G1G01-4980
Folate-Transformations	0.017462485	G1G01-355 // G1G01-2067 // G1G01-1059 // G1G01-5477 // G1G01-2065
Methyl-Citrate-Cycle	0.018054293	G1G01-2495 // G1G01-2496 // G1G01-2354
PWY0-42	0.018054293	G1G01-2495 // G1G01-2496 // G1G01-2354
Other-Amino-Acid-Biosynthesis	0.027394831	G1G01-671 // G1G01-4299 // G1G01-4302 // G1G01-4303 // G1G01-2354 // G1G01-5290 // G1G01-1152 // G1G01-5532
Respiration	0.030834546	G1G01-1404 // G1G01-5290 // G1G01-4405 // G1G01-77 // G1G01-4682 // G1G01-4681 // G1G01-4679
PWY-2161	0.031130379	G1G01-355 // G1G01-2067
PWY-7574	0.031130379	G1G01-648 // G1G01-4980
NUCLEO-DEG	0.04179002	G1G01-671 // G1G01-4299 // G1G01-4302 // G1G01-4303 // G1G01-2713
PWY0-1337	0.04179002	G1G01-2356 // G1G01-2355 // G1G01-2357 // G1G01-2354 // G1G01-1950
PWY-2201	0.042042773	G1G01-355 // G1G01-2067 // G1G01-2065 // G1G01-1059
1CMET2-PWY	0.042042773	G1G01-355 // G1G01-2067 // G1G01-1059 // G1G01-5477
Fatty-Acid-Degradation	0.04830907	G1G01-1950 // G1G01-2355 // G1G01-2354 // G1G01-2356 // G1G01-2357
PWY-7909	0.049340423	G1G01-2065 // G1G01-2067
PWY0-1568	0.049340423	G1G01-4405 // G1G01-77
ISOLEUCINE-DEG	0.049340423	G1G01-2357 // G1G01-2356
ACETATEUTIL-PWY	0.049340423	G1G01-850 // G1G01-5023
CITRULLINE-DEG-PWY	0.049340423	G1G01-1072 // G1G01-1152
ILEUDEG-PWY	0.049340423	G1G01-2357 // G1G01-2356
