Pathways	p-values	Matches
Carbohydrates-Degradation	4.796458e-5	G1G01-3815 // G1G01-1451 // G1G01-1096 // G1G01-1097 // G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-3264 // G1G01-4007 // G1G01-4317 // G1G01-5386
DHGLUCONATE-PYR-CAT-PWY	1.0253576e-4	G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609
Sugars-And-Polysaccharides-Degradation	3.8825098e-4	G1G01-3815 // G1G01-1451 // G1G01-1096 // G1G01-1097 // G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-3264 // G1G01-4007
CARBOXYLATES-DEG	4.4534734e-4	G1G01-1097 // G1G01-4789 // G1G01-4007 // G1G01-4216 // G1G01-372 // G1G01-4454 // G1G01-371 // G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-2495 // G1G01-1451 // G1G01-2172
SUGAR-ACIDS-DEG	5.745609e-4	G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-2172 // G1G01-1097
PWY1G01-2	0.0017916854	G1G01-1097 // G1G01-1096 // G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-5495 // G1G01-1451
GLYCOLYSIS-VARIANTS	0.0017916854	G1G01-1097 // G1G01-1096 // G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-5495 // G1G01-1451
Energy-Metabolism	0.0018006979	G1G01-1097 // G1G01-1096 // G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-5495 // G1G01-1451 // G1G01-4393 // G1G01-372 // G1G01-4454 // G1G01-371 // G1G01-4278 // G1G01-826 // G1G01-4455 // G1G01-1856 // G1G01-4384 // G1G01-2309
Acetyl-CoA-Biosynthesis	0.0027395077	G1G01-372 // G1G01-4454 // G1G01-371
PYRUVDEHYD-PWY	0.0027395077	G1G01-372 // G1G01-4454 // G1G01-371
Polymer-Degradation	0.0033985162	G1G01-4317 // G1G01-3815 // G1G01-5386 // G1G01-3609
POLYSACCHARIDES-DEG	0.0033985162	G1G01-4317 // G1G01-3815 // G1G01-5386 // G1G01-3609
GLUTAMINDEG-PWY	0.00402228	G1G01-1004 // G1G01-1006 // G1G01-1105 // G1G01-5050 // G1G01-5419
GLUTAMINE-DEG	0.00402228	G1G01-5419 // G1G01-1004 // G1G01-1006 // G1G01-1105 // G1G01-5050
PWY-5041	0.006396588	G1G01-2879 // G1G01-5321 // G1G01-5311
S-adenosyl-L-methionine-Biosynthesis	0.006396588	G1G01-2879 // G1G01-5321 // G1G01-5311
PWY-5941	0.006396588	G1G01-4317 // G1G01-3815 // G1G01-5386
Glycogen-Degradation	0.006396588	G1G01-4317 // G1G01-3815 // G1G01-5386
PWY0-1479	0.006396588	G1G01-2016 // G1G01-4899 // G1G01-5220
CITRULLINE-DEG-PWY	0.006396588	G1G01-1072 // G1G01-5050 // G1G01-1073
Glycan-Degradation	0.006396588	G1G01-4317 // G1G01-3815 // G1G01-5386
CITRULBIO-PWY	0.006585824	G1G01-1073 // G1G01-1004 // G1G01-1006 // G1G01-1105 // G1G01-5050 // G1G01-5419
Citrulline-Biosynthesis	0.006585824	G1G01-1073 // G1G01-1004 // G1G01-1006 // G1G01-1105 // G1G01-5050 // G1G01-5419
ASPARAGINE-SYN	0.008096599	G1G01-1004 // G1G01-1006 // G1G01-1105 // G1G01-5050 // G1G01-5419
PWY490-4	0.008096599	G1G01-1004 // G1G01-1006 // G1G01-1105 // G1G01-5050 // G1G01-5419
METHIONINE-DEG1-PWY	0.008215172	G1G01-5321 // G1G01-5311
SECONDARY-METABOLITE-DEGRADATION	0.010443731	G1G01-3588 // G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-2172 // G1G01-1097
PWY-5921	0.010940734	G1G01-1004 // G1G01-1006 // G1G01-1105 // G1G01-5050 // G1G01-5419
Degradation	0.011497035	G1G01-4007 // G1G01-1097 // G1G01-4857 // G1G01-4789 // G1G01-4216 // G1G01-372 // G1G01-4454 // G1G01-371 // G1G01-417 // G1G01-5391 // G1G01-4317 // G1G01-3815 // G1G01-5386 // G1G01-647 // G1G01-5419 // G1G01-3609 // G1G01-260 // G1G01-3974 // G1G01-1072 // G1G01-5050 // G1G01-1073 // G1G01-4019 // G1G01-2172 // G1G01-4032 // G1G01-5439 // G1G01-1451 // G1G01-3588 // G1G01-1161 // G1G01-2495 // G1G01-1471 // G1G01-4278 // G1G01-826 // G1G01-4455 // G1G01-1856 // G1G01-1096 // G1G01-1479 // G1G01-5321 // G1G01-5311 // G1G01-1221 // G1G01-5408 // G1G01-5407 // G1G01-1004 // G1G01-1006 // G1G01-1105 // G1G01-3296 // G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3264
ARGDEGRAD-PWY	0.011951953	G1G01-1072 // G1G01-5050 // G1G01-1073
NITROGEN-DEG	0.014401005	G1G01-5050 // G1G01-1161 // G1G01-1073 // G1G01-5419 // G1G01-5391
Sugar-Derivatives	0.01471858	G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-2172 // G1G01-1097
IND-AMINO-ACID-SYN	0.014848749	G1G01-5050 // G1G01-1073 // G1G01-1161 // G1G01-1871 // G1G01-2172 // G1G01-1004 // G1G01-1006 // G1G01-1105 // G1G01-5419 // G1G01-5360 // G1G01-2117 // G1G01-2119 // G1G01-4454 // G1G01-4032 // G1G01-5439 // G1G01-2711 // G1G01-2879 // G1G01-86 // G1G01-917 // G1G01-5391
PWY-4984	0.019546315	G1G01-5050 // G1G01-1161 // G1G01-1073
Amino-Acid-Biosynthesis	0.021580651	G1G01-5050 // G1G01-1073 // G1G01-1161 // G1G01-1871 // G1G01-2117 // G1G01-2119 // G1G01-2172 // G1G01-1004 // G1G01-1006 // G1G01-1105 // G1G01-5419 // G1G01-5360 // G1G01-647 // G1G01-4454 // G1G01-4032 // G1G01-5439 // G1G01-2711 // G1G01-2879 // G1G01-86 // G1G01-917 // G1G01-5391
METHIONINE-DEG	0.023178522	G1G01-5321 // G1G01-5311
PWY-3341	0.023178522	G1G01-4032 // G1G01-5439
GALACTUROCAT-PWY	0.023178522	G1G01-1097 // G1G01-3609
PWY-5084	0.023178522	G1G01-4454 // G1G01-4455
CHOLINE-BETAINE-ANA-PWY	0.023178522	G1G01-5408 // G1G01-5407
Betaine-Biosynthesis	0.023178522	G1G01-5407 // G1G01-5408
BETSYN-PWY	0.023178522	G1G01-5407 // G1G01-5408
TCA	0.03534715	G1G01-4278 // G1G01-826 // G1G01-4455 // G1G01-4454 // G1G01-1856
TCA-VARIANTS	0.03534715	G1G01-4278 // G1G01-826 // G1G01-4455 // G1G01-4454 // G1G01-1856
PENTOSE-P-PWY	0.041005805	G1G01-1096 // G1G01-5495 // G1G01-2309
Pentose-Phosphate-Cycle	0.041005805	G1G01-5495 // G1G01-2309 // G1G01-1096
ARG-PRO-PWY	0.043617535	G1G01-4032 // G1G01-5439
NONOXIPENT-PWY	0.043617535	G1G01-5495 // G1G01-2309
PROSYN-PWY	0.043617535	G1G01-4032 // G1G01-5439
Choline-Degradation	0.043617535	G1G01-5408 // G1G01-5407
P542-PWY	0.043617535	G1G01-5408 // G1G01-5407
