Pathways	p-values	Matches
Degradation	5.96817e-8	G1G01-2067 // G1G01-536 // G1G01-2278 // G1G01-2355 // G1G01-2354 // G1G01-2356 // G1G01-3985 // G1G01-4299 // G1G01-5617 // G1G01-4375 // G1G01-5615 // G1G01-5614 // G1G01-3828 // G1G01-3693 // G1G01-3694 // G1G01-3696 // G1G01-3666 // G1G01-4980 // G1G01-3776 // G1G01-4330 // G1G01-4879 // G1G01-3411 // G1G01-4780 // G1G01-2855 // G1G01-3989 // G1G01-202 // G1G01-725 // G1G01-4462 // G1G01-4682 // G1G01-4681 // G1G01-4679 // G1G01-4979 // G1G01-2065 // G1G01-361 // G1G01-354 // G1G01-5239
Proteinogenic-Amino-Acids-Degradation	5.428016e-7	G1G01-3776 // G1G01-4330 // G1G01-3666 // G1G01-354 // G1G01-2356 // G1G01-4980 // G1G01-4682 // G1G01-4681 // G1G01-4679 // G1G01-4979 // G1G01-4879 // G1G01-5617 // G1G01-4375 // G1G01-5615 // G1G01-5614 // G1G01-3828 // G1G01-3411 // G1G01-4780
Amino-Acid-Degradation	1.3279722e-6	G1G01-3776 // G1G01-4330 // G1G01-3666 // G1G01-354 // G1G01-2356 // G1G01-4980 // G1G01-4682 // G1G01-4681 // G1G01-4679 // G1G01-4979 // G1G01-3411 // G1G01-4879 // G1G01-5617 // G1G01-4375 // G1G01-5615 // G1G01-5614 // G1G01-3828 // G1G01-4780
PWY-5283	1.3835292e-5	G1G01-5617 // G1G01-4375 // G1G01-5615 // G1G01-5614 // G1G01-3828
VALDEG-PWY	4.750321e-5	G1G01-4980 // G1G01-4682 // G1G01-4681 // G1G01-4679 // G1G01-4979
VALINE-DEG	4.750321e-5	G1G01-4980 // G1G01-4682 // G1G01-4681 // G1G01-4679 // G1G01-4979
PWY-6967	7.73566e-5	G1G01-3693 // G1G01-3694 // G1G01-3696
Methylamine-Degradation	7.73566e-5	G1G01-3693 // G1G01-3694 // G1G01-3696
LYSINE-DEG	1.8653357e-4	G1G01-5617 // G1G01-4375 // G1G01-5615 // G1G01-5614 // G1G01-3828
PWY-5046	2.9997766e-4	G1G01-4682 // G1G01-4681 // G1G01-4679
FAO-PWY	0.0030159056	G1G01-3985 // G1G01-2354 // G1G01-2278 // G1G01-2355
PWY0-1337	0.0041353717	G1G01-2356 // G1G01-2355 // G1G01-2278 // G1G01-2354 // G1G01-3985
Fatty-Acid-Degradation	0.004911813	G1G01-3985 // G1G01-2278 // G1G01-2355 // G1G01-2354 // G1G01-2356
PWY-5136	0.0053981063	G1G01-2278 // G1G01-2355 // G1G01-2354
C1-COMPOUNDS	0.0075329095	G1G01-2065 // G1G01-2067 // G1G01-361 // G1G01-536
Fatty-Acid-and-Lipid-Degradation	0.007860086	G1G01-3985 // G1G01-2278 // G1G01-2355 // G1G01-2354 // G1G01-2356
Formaldehyde-Oxidation	0.012893647	G1G01-2065 // G1G01-2067 // G1G01-361
PWY-7909	0.017065194	G1G01-2065 // G1G01-2067
PWY1G01-3	0.02006703	G1G01-2356 // G1G01-2355 // G1G01-2855
PWY-7094	0.029045729	G1G01-2355 // G1G01-2278 // G1G01-2354
GLYOXYLATE-BYPASS	0.033893116	G1G01-725 // G1G01-4462
LEU-DEG2-PWY	0.033893116	G1G01-3776 // G1G01-4330
LCYSDEG-PWY	0.043564357	G1G01-4879
CYSTEINE-DEG	0.043564357	G1G01-4879
PWY-7639	0.043564357	G1G01-3691
PWY-5436	0.043564357	G1G01-354
PWY-5964	0.043564357	G1G01-3691
GLYSYN-THR-PWY	0.043564357	G1G01-354
PWY-5177	0.043953724	G1G01-2355 // G1G01-2356
LEUCINE-DEG	0.043953724	G1G01-3776 // G1G01-4330
